"name","type","location","id","average_score"
로컬릿,양식,서울 성동구 한림말길 33 2층,1,7.604166666666667
티엔미미 홍대점,중식당,서울 마포구 양화로 144 머큐어 앰버서더 호텔 4층,2,7.731958762886598
라까예,"멕시코,남미음식",서울 중구 퇴계로85길 42 1층 라까예,3,7.547872340425532
을지로보석,"오뎅,꼬치",서울 중구 마른내로 11-10 3층,4,6.666666666666667
부토,바(BAR),서울 용산구 한남대로27가길 32 지2층,5,6.673913043478261
군몽,양식,서울 용산구 한남대로27가길 15 2층 군몽,6,8.649122807017545
키보 에다마메,이자카야,서울 용산구 한강대로76길 11-40 1층,7,8.383838383838384
즐거운술상,요리주점,"서울 도봉구 노해로 341 117호 창동, 신원리베르텔)",8,6.239583333333333
포노 부오노,양식,서울 강남구 도산대로45길 8-7 2층,9,8.8
비아 톨레도 파스타바,"스파게티,파스타전문",서울 용산구 원효로83길 7-2 1층,10,8.272727272727273
파브리키친,이탈리아음식,서울 용산구 한강대로15길 23-6 1층,11,7.182795698924731
도량,중식당,"서울 종로구 자하문로6길 6 2, 3층",12,8.197916666666666
식당네오,이자카야,서울 송파구 삼전로12길 4 101호,13,7.846153846153846
트리드,양식,서울 강남구 선릉로162길 16 2층,14,7.792000000000001
디핀,양식,서울 중구 퇴계로 411 1층 디핀,15,7.7272727272727275
디핀옥수,양식,서울 성동구 독서당로 194 지하1층,16,7.349462365591398
캐비스트리,스페인음식,서울 강남구 도산대로37길 21 1층 캐비스트리,17,8.302105263157895
네기라이브,일식당,서울 성동구 성수이로 97 5층 일부,18,8.04
네기다이닝라운지,일식당,서울 강남구 도산대로15길 18 4층 네기다이닝라운지,19,7.125
네기 실비,한식,서울 종로구 새문안로2길 10 디팰리스 B1,20,7.146464646464646
모던오뎅 현대백화점 압구정본점,"오뎅,꼬치",서울 강남구 압구정동 압구정로 165,21,8.5
모던오뎅 신사점,일식당,서울 강남구 도산대로17길 10 1층 모던오뎅,22,6.45625
장수나주곰탕,"곰탕,설렁탕","광주 서구 대남대로487번길 14 1, 2층",23,6.368421052631579
광주옥1947,냉면,광주 서구 상무대로 1104-20,24,5.8355555555555565
촨촨지우바,중식당,"서울 중구 을지로 157 대림상가 3층 가358,359",25,7.683673469387755
야키토리 묵,"일식튀김,꼬치",서울 마포구 성미산로 165-1 1층 우측,26,7.67741935483871
에이넷,와인,서울 강남구 논현로159길 46-6 1층,27,8.604285714285714
본연,한식,서울 강남구 논현로 742 7층,28,8.333333333333334
천하제일 솥뚜껑,한식,서울 성동구 성수이로7길 27 1층 105-1호,29,8.066326530612244
조광201,중식당,서울 송파구 새말로8길 13 2층,30,8.052631578947368
면서울,한식,서울 강남구 선릉로 805 1층,31,7.057291666666667
홍보각,중식당,서울 강남구 봉은사로 130 노보텔 앰배서더 강남 LL층,32,8.161764705882353
쵸이닷,이탈리아음식,서울 강남구 도산대로 457 3층,33,7.110204081632654
달리아 다이닝,양식,서울 강남구 도산대로45길 14 2층 달리아 다이닝,34,8.414583333333333
중앙감속기,퓨전음식,서울 성동구 성수일로6길 7-1 1층 중앙감속기,35,7.593684210526315
블루샹하이,중식당,경기 성남시 분당구 정자일로 197,36,6.772
소굿,와인,"경기 안산시 단원구 광덕2로 163-11 111호(고잔동, 21세기빌딩) 엘레베이터 맞은편",37,8.392999999999999
카사 데 타코,"멕시코,남미음식",경기 안산시 단원구 광덕대로 155 123호,38,7.645833333333333
미미옥 울산점,한식,울산 중구 동천1길 40 세영이노세븐 지식산업센터 1층 C동 160호,39,6.537234042553192
포그,피자,서울 마포구 백범로16안길 15-1 1층,40,7.954545454545454
미미옥 강남 신논현점,한식,서울 강남구 봉은사로4길 24 1층,41,7.910526315789474
묵정,한식,서울 중구 퇴계로48길 17 1층,42,8.5
"8nrm 팔도강산버거",햄버거,서울 마포구 성미산로27길 71 1층,43,8.035353535353535
티엔미미 강남점,"딤섬,중식만두","서울 서초구 사임당로 143 104-1, 104-2, 104-3호",44,7.682
에빗,양식,서울 강남구 도산대로45길 10-5 1층 EVETT,45,7.732608695652174
비채나,한식,서울 송파구 올림픽로 300 롯데월드타워 81층,46,7.821111111111111
친밀 제주,양식,제주 제주시 조천읍 남조로 1781,47,6.98125
나경버섯,한식,충남 부여군 석성면 비당로109번길 100 나경버섯농가,48,0.0
오팬파이어,양식,제주 제주시 조천읍 남조로 1781 1층,49,6.405263157894737
터치더스카이,양식,서울 영등포구 63로 50 한화금융센터_63,50,8.123711340206185
깃든,"육류,고기요리",서울 강북구 월계로7나길 46-5 1층 깃든,51,8.377551020408163
진진,중식당,서울 마포구 월드컵북로1길 60 1층 진진,52,6.739130434782608
쇼니노,양식,서울 용산구 한강대로21길 17-18 1층,53,8.233333333333334
이도 용산,한식,"서울 용산구 한강대로50길 14 1층 101호, 102호",54,8.211340206185566
Triple bones,한식,서울 송파구 법원로11길 11 문정현대지식산업센터 A동 107호,55,8.149999999999999
불끈,"장어,먹장어요리",서울 마포구 토정로35길 11 지1층 B01호,56,7.581521739130435
제이드앤워터,양식,서울 성동구 한림말3길 29 2층,57,8.111702127659575
에스콘디도,양식,서울 용산구 한남대로20길 61-7 지하 1층,58,8.7
엘몰리노,"멕시코,남미음식",서울 성동구 서울숲2길 19-18 1층,59,7.002127659574469
더 시옷,양식,서울 중구 수표로 30 OK빌딩 2층,60,7.508421052631578
블그레,와인,서울 강남구 논현로175길 101-4 4층,61,8.589473684210526
와일드플라워,양식,서울 서초구 방배로26길 19 1층,62,8.301075268817204
윤서울,한식,서울 강남구 선릉로 805 1층,63,7.723684210526316
가매일식,일식당,광주 서구 상무대로 1104-26,64,5.626315789473685
모리노아루요,일식당,제주 제주시 애월읍 하소로 769-58 모리노아루요,65,6.6421052631578945
오쁘띠베르,"카페,디저트",서울 종로구 자하문로 47-1,66,6.950515463917526
그린볼,양식,강원 강릉시 산양큰길22번길 30 1층,67,8.148717948717948
리북방,한식,서울 마포구 마포대로1길 16 2층 리북방,68,7.215151515151515
네기스키야키 압구정점,일식당,서울 강남구 논현로 854 지하1층 네기스키야키,69,7.064285714285714
저저,한식,서울 중구 퇴계로41길 31 . 1층 101호,70,7.1521739130434785
최씨네 피자,피자,대구 수성구 달구벌대로467길 22-24 1층,71,0.0
팟카파우,태국음식,서울 용산구 신흥로 97-6 신흥시장안 2층,72,7.562765957446809
장화,이자카야,경남 양산시 물금읍 증산역로 155 01층 103호,73,8.666666666666666
야키토리 코치,"일식튀김,꼬치",서울 영등포구 영중로10길 32-4 지하1층,74,7.974489795918367
야키토리혼바,일식당,서울 용산구 후암로 79 (3층),75,8.10377358490566
아오이토리,베이커리,서울 마포구 와우산로29길 8 K.C빌딩,76,6.371134020618556
후후세이지,이자카야,서울 성북구 정릉로26길 32,77,7.5623376623376615
야키니쿠세이지 연신내점,"육류,고기요리",서울 은평구 연서로27길 13-6 야키니쿠세이지,78,8.51086956521739
스낵바세이지 어부bar,이자카야,서울 은평구 연서로25길 20-4 스낵바세이지 어부바,79,8.143434343434343
잭잭,햄버거,서울 용산구 회나무로6길 21 1층,80,7.545263157894737
소금집델리 성수도원점(폐업),샌드위치,서울 성동구 연무장3길 9 1층,81,6.595890410958904
라운지바이블그레,한식,서울 강남구 논현로175길 101-4 5층,82,0.0
띵스버거,햄버거,서울 성동구 고산자로8길 20 1층 띵스버거,83,7.333333333333333
코치,"일식튀김,꼬치",서울 성동구 성덕정17길 11 1층,84,6.899000000000001
방아실 연탄구이,"육류,고기요리",서울 성동구 왕십리로2길 38 1층,85,6.839999999999999
버거보이 성수낙낙점,햄버거,서울 성동구 아차산로17길 48 1층 R113호,86,6.854166666666667
심야식당세이지 연신내본점,이자카야,서울 은평구 연서로27길 13-6 심야식당세이지,87,7.531914893617022
엄마밥상,"백반,가정식",경북 칠곡군 동명면 팔공산로 157,88,5.835869565217391
안동집 손칼국시,"칼국수,만두",서울 동대문구 고산자로36길 3 신관 지하1층,89,6.360919540229885
피델리오,양식,서울 마포구 월드컵로19길 31-1 3층,90,7.181818181818182
미미옥 신용산점,한식,서울 용산구 한강대로15길 27,91,7.729670329670331
언니네시골집 게스트하우스,게스트하우스,제주 제주시 한경면 용수3길 38 언니네시골집 게스트하우스,92,0.0
대엽,한식,서울 성동구 왕십리로2길 36 1층 3호,93,7.217948717948718
휘뚜루,이자카야,서울 성동구 왕십리로2길 38 1층,94,7.036082474226804
넛츠비어 성수본점,"맥주,호프",서울 성동구 뚝섬로 356 1층,95,7.346938775510204
고씨네고추장찌개,포장마차,서울 중구 수표로 26 1층,96,6.252747252747253
소금집델리 망원,양식,서울 마포구 월드컵로19길 14 2층,97,6.894382022471909
소금집델리 안국,샌드위치,서울 종로구 북촌로4길 19 1층,98,5.872448979591836
조광101,중식당,서울 송파구 새말로10길 8,99,8.301282051282051
참치논데,이자카야,서울 광진구 능동로37길 35 2층,100,7.833333333333333
스낵바 논데,이자카야,서울 성동구 왕십리로 58 1층 108호,101,6.805405405405406
논데,일식당,서울 종로구 종로18길 37 하이뷰디아트 2층,102,7.4340206185567
마늘집,닭볶음탕,서울 마포구 양화로3길 15 2층 201호,103,7.828571428571428
나카지마 고에몽,"초밥,롤",서울 영등포구 국회대로54길 10 아크로타워스퀘어 상가동 지하1층 39호,104,7.953125
가야가야,일본식라면,서울 서대문구 이화여대5길 7-3,105,6.385135135135135
오늘의초밥,"초밥,롤",경기 수원시 영통구 센트럴파크로127번길 18 1층 오늘의초밥,106,7.336842105263158
윰드,브런치카페,서울 강남구 도산대로58길 18 1층,107,7.51530612244898
이야이야앤프렌즈,브런치카페,서울 강남구 도산대로51길 22 1-4층,108,7.311224489795919
미트컬쳐,양식,강원 강릉시 경강로 2629 1층,109,8.095
로기,양식,서울 용산구 한남대로27가길 32 201호 로기,110,8.196
아타리,"일식튀김,꼬치",서울 성동구 성덕정19길 13 1층,111,7.373684210526315
나우 남영,양식,서울 용산구 원효로89길 23 2층,112,8.391752577319588
넘은 봄,한식,제주 제주시 구좌읍 김녕로1길 75-1 1층 넘은봄,113,8.277173913043478
사브서울,와인,서울 강남구 논현로175길 6 B1,114,7.005263157894737
남영탉,"치킨,닭강정",서울 용산구 한강대로80길 12 1층,115,6.736559139784946
마마리마켓,한식,서울 성동구 연무장18길 16 1층 마마리마켓,116,7.545454545454546
팔발라 삼청본점,프랑스음식,서울 종로구 삼청로 61,117,7.0
야키토리묵 신사점,일식당,서울 강남구 강남대로152길 23 지하 1층 야키토리묵 신사,118,7.090425531914893
도시곳간 본점,반찬가게,서울 광진구 능동로 18 지하1층 도시곳간,119,6.333333333333333
